protocol,network,contract_address,source,status,contract_name,abi_path
argo,aptos,,not-found,skip,Unknown,
auro_finance,aptos,,not-found,skip,Unknown,
thala_cdp,aptos,,not-found,skip,Unknown,
binance_cex,aptos,,not-found,skip,Unknown,
bitfinex,aptos,,not-found,skip,Unknown,
bitkub,aptos,,not-found,skip,Unknown,
bitlo,aptos,,not-found,skip,Unknown,
blofin,aptos,,not-found,skip,Unknown,
bybit,aptos,,not-found,skip,Unknown,
fastex,aptos,,not-found,skip,Unknown,
flipster,aptos,,not-found,skip,Unknown,
gate,aptos,,not-found,skip,Unknown,
hashkey_exchange,aptos,,not-found,skip,Unknown,
kucoin,aptos,,not-found,skip,Unknown,
mexc,aptos,,not-found,skip,Unknown,
okx,aptos,,not-found,skip,Unknown,
agdex,aptos,,not-found,skip,Unknown,
merkle_trade,aptos,,not-found,skip,Unknown,
mirage_protocol,aptos,,not-found,skip,Unknown,
thetis_perps,aptos,,not-found,skip,Unknown,
tsunamix,aptos,,not-found,skip,Unknown,
animeswap,aptos,,not-found,skip,Unknown,
aptoswap,aptos,,not-found,skip,Unknown,
atodex,aptos,,not-found,skip,Unknown,
aux_exchange,aptos,,not-found,skip,Unknown,
baptswap_v1,aptos,,not-found,skip,Unknown,
baptswap_v2,aptos,,not-found,skip,Unknown,
baptswap_v2_1,aptos,,not-found,skip,Unknown,
bridgers,aptos,,not-found,skip,Unknown,
cellana_finance,aptos,,not-found,skip,Unknown,
cetus_amm,aptos,,not-found,skip,Unknown,
earnium,aptos,,not-found,skip,Unknown,
econia,aptos,,not-found,skip,Unknown,
houstonswap,aptos,,not-found,skip,Unknown,
hyperion,aptos,,not-found,skip,Unknown,
jujube_finance,aptos,,not-found,skip,Unknown,
liquidswap,aptos,,not-found,skip,Unknown,
obric,aptos,,not-found,skip,Unknown,
pancakeswap_amm,aptos,,not-found,skip,Unknown,
sushi_aptos,aptos,,not-found,skip,Unknown,
tapp_exchange,aptos,,not-found,skip,Unknown,
thalaswap,aptos,,not-found,skip,Unknown,
thalaswap_v2,aptos,,not-found,skip,Unknown,
thalaswap_v3,aptos,,not-found,skip,Unknown,
aptoslaunch,aptos,,not-found,skip,Unknown,
emojicoin_fun,aptos,,not-found,skip,Unknown,
movegpt,aptos,,not-found,skip,Unknown,
movepump,aptos,,not-found,skip,Unknown,
aave_aptos,aptos,,not-found,skip,Unknown,
abel_finance,aptos,,not-found,skip,Unknown,
aptin_finance_v1,aptos,,not-found,skip,Unknown,
aptin_finance_v2,aptos,,not-found,skip,Unknown,
aries_markets,aptos,,not-found,skip,Unknown,
echelon_market,aptos,,not-found,skip,Unknown,
echo_lending,aptos,,not-found,skip,Unknown,
joule_finance,aptos,,not-found,skip,Unknown,
meso_finance,aptos,,not-found,skip,Unknown,
superposition,aptos,,not-found,skip,Unknown,
moar_market,aptos,,not-found,skip,Unknown,
amnis_finance,aptos,,not-found,skip,Unknown,
ditto,aptos,,not-found,skip,Unknown,
echo_liquid_staking,aptos,,not-found,skip,Unknown,
kofi_finance,aptos,,not-found,skip,Unknown,
thala_lsd,aptos,,not-found,skip,Unknown,
thala_vethl,aptos,,not-found,skip,Unknown,
tortuga,aptos,,not-found,skip,Unknown,
trustake,aptos,,not-found,skip,Unknown,
bluemove_staking,aptos,,not-found,skip,Unknown,
moveflow,aptos,,not-found,skip,Unknown,
streamflow,aptos,,not-found,skip,Unknown,
apollo_diversified_credit_securitize_fund,aptos,,not-found,skip,Unknown,
blackrock_buidl,aptos,,not-found,skip,Unknown,
libre_capital,aptos,,not-found,skip,Unknown,
ondo_yield_assets,aptos,,not-found,skip,Unknown,
propbase,aptos,,not-found,skip,Unknown,
eternal_finance,aptos,,not-found,skip,Unknown,
mole,aptos,,not-found,skip,Unknown,
